heuristic,trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
HC5,11,"59479",1481,59479,"56587",1424,56587,"31891,574",true
HC5,12,"59479",1481,59479,"56587",1424,56587,"31676,273",true
HC5,13,"59479",1481,59479,"56587",1424,56587,"32094,058",true
HC5,14,"59479",1481,59479,"56587",1424,56587,"31802,154",true
HC5,15,"59479",1481,59479,"56587",1424,56587,"31842,348",true
HC5,16,"59479",1481,59479,"56587",1424,56587,"32041,873",true
HC5,17,"59479",1481,59479,"56587",1424,56587,"32060,655",true
HC5,18,"59479",1481,59479,"56587",1424,56587,"31916,898",true
HC5,19,"59479",1481,59479,"56587",1424,56587,"31893,678",true
HC5,20,"59479",1481,59479,"56587",1424,56587,"31945,762",true
HC5,21,"59479",1481,59479,"56587",1424,56587,"31795,716",true
HC5,22,"59479",1481,59479,"56587",1424,56587,"31800,302",true
HC5,23,"59479",1481,59479,"56587",1424,56587,"32135,499",true
HC5,24,"59479",1481,59479,"56587",1424,56587,"31776,432",true
HC5,25,"59479",1481,59479,"56587",1424,56587,"31905,031",true
HC5,26,"59479",1481,59479,"56587",1424,56587,"31941,985",true
HC5,27,"59479",1481,59479,"56587",1424,56587,"31862,174",true
HC5,28,"59479",1481,59479,"56587",1424,56587,"31848,212",true
HC5,29,"59479",1481,59479,"56587",1424,56587,"31935,763",true
HC52,0,"59479",1481,59479,"52885",1333,52885,"161497,229",true
HC52,1,"59479",1481,59479,"52880",1333,52880,"149612,164",true
HC52,2,"59479",1481,59479,"52895",1333,52895,"166993,045",true
HC52,3,"59479",1481,59479,"52890",1333,52890,"141907,155",true
HC52,4,"59479",1481,59479,"52885",1333,52885,"147085,391",true
HC52,5,"59479",1481,59479,"52895",1333,52895,"146979,591",true
HC52,6,"59479",1481,59479,"52947",1335,52947,"143142,11",true
HC52,7,"59479",1481,59479,"52895",1333,52895,"146887,784",true
HC52,8,"59479",1481,59479,"52947",1335,52947,"149552,684",true
HC52,9,"59479",1481,59479,"52885",1333,52885,"160114,419",true
HC52,10,"59479",1481,59479,"52937",1333,52937,"142033,894",true
RD,0,"59479",1481,59479,"56872",1425,56872,"11181,932",true
RD,1,"59479",1481,59479,"58022",1449,58022,"11185,922",true
RD,2,"59479",1481,59479,"56761",1423,56761,"11238,302",true
RD,3,"59479",1481,59479,"57252",1426,57252,"11145,391",true
RD,4,"59479",1481,59479,"57986",1451,57986,"11244,858",true
RD,5,"59479",1481,59479,"57075",1433,57075,"11255,629",true
