Rodada;Algoritmo;min;max;media;mediana;duracao
0;original;7.35;7.995;7.427;7.482;224.461
4;RD;7.301;7.795;7.416;7.429;222.87
21;RD;7.317;7.855;7.43;7.446;223.39
32;RD;7.081;8.233;7.419;7.396;221.889
18;GA;7.051;8.428;7.151;7.214;216.423
