heuristic,trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
HC5,25,"22401",526,22401,"22008",525,22008,"14516,314",true
HC5,26,"22401",526,22401,"20934",498,20934,"6909,402",true
HC5,
HC5,28,"22401",526,22401,"21552",509,21552,"4785,03",true
HC5,
RD,0,"22401",526,22401,"18859",444,18859,"5753,546",true
RD,1,"22401",526,22401,"19061",452,19061,"5768,651",true
RD,2,"22401",526,22401,"19739",466,19739,"7415,569",true
RD,3,"22401",526,22401,"21129",498,21129,"9472,298",true
RD,4,"22401",526,22401,"22208",523,22208,"9428,555",true
RD,5,"22401",526,22401,"22098",520,22098,"9634,885",true
RD,6,"22401",526,22401,"22264",522,22264,"9986,575",true
RD,7,"22401",526,22401,"22326",524,22326,"10046,131",true
RD,8,"22401",526,22401,"21802",511,21802,"8685,169",true
RD,9,"22401",526,22401,"21947",518,21947,"8809,87",true
RD,10,"22401",526,22401,"21685",510,21685,"8858,539",true
RD,11,"22401",526,22401,"22029",516,22029,"9426,83",true
RD,12,"22401",526,22401,"21997",517,21997,"10237,461",true
RD,13,"22401",526,22401,"22146",519,22146,"10249,851",true
RD,14,"22401",526,22401,"22133",520,22133,"10428,962",true
RD,15,"22401",526,22401,"22200",523,22200,"10509,372",true
RD,16,"22401",526,22401,"22256",522,22256,"10525,298",true
RD,17,"22401",526,22401,"22401",526,22401,"7001,765",false
RD,18,"22401",526,22401,"21972",519,21972,"10418,309",true
RD,19,"22401",526,22401,"22159",521,22159,"7008,469",true
RD,20,"22401",526,22401,"22294",524,22294,"10575,913",true
RD,21,"22401",526,22401,"22164",521,22164,"10359,413",true
RD,22,"22401",526,22401,"22278",524,22278,"7088,34",true
RD,23,"22401",526,22401,"22201",522,22201,"10456,773",true
RD,24,"22401",526,22401,"22401",526,22401,"6978,19",false
RD,25,"22401",526,22401,"22314",524,22314,"10518,284",true
RD,26,"22401",526,22401,"22401",526,22401,"7033,886",false
RD,27,"22401",526,22401,"22118",520,22118,"10588,68",true
RD,28,"22401",526,22401,"22268",524,22268,"10435,322",true
RD,29,"22401",526,22401,"22156",521,22156,"10727,064",true
