Rodada;Algoritmo;Funcao;min;max;media;mediana;duracao;quantidade
10;HC;RestAPI;0,015037;0,359655;0,0389675;0,09533745000000005;9,533745000000005;100
10;HC;request;0,202213;4,066579;0,8079135;1,15054035;161,075649;140
11;HC;request;0,196489;4,136223;0,8040320000000001;1,155819621428571;161,81474699999993;140
12;HC;RestAPI;0,014724;0,418005;0,0384385;0,09339185000000003;9,339185000000002;100
12;HC;request;0,203433;3,953625;0,811644;1,1448212071428574;160,27496900000003;140
13;HC;RestAPI;0,014808;0,347199;0,039598;0,09656852;9,656852;100
13;HC;request;0,200717;4,043885;0,821251;1,1622155999999992;162,71018399999988;140
14;HC;RestAPI;0,015085;0,93146;0,041006;0,10561190000000004;10,561190000000003;100
14;HC;request;0,201642;4,005419;0,807326;1,146720807142857;160,540913;140
15;HC;RestAPI;0,01487;0,315911;0,038633;0,09472992;9,472992;100
15;HC;request;0,199573;4,022466;0,8157145;1,149205492857143;160,888769;140
16;HC;RestAPI;0,015043;0,369364;0,039379;0,09687377000000001;9,687377000000001;100
16;HC;request;0,199605;3,969195;0,8151455000000001;1,1524067642857145;161,33694700000004;140
17;HC;RestAPI;0,015061;0,330426;0,0382925;0,09324505999999996;9,324505999999996;100
17;HC;request;0,195631;4,092788;0,8192115;1,1468884928571426;160,56438899999995;140
18;HC;RestAPI;0,014877;0,32236;0,038418499999999994;0,09157063999999997;9,157063999999997;100
18;HC;request;0,196623;3,977897;0,800468;1,1357671142857146;159,00739600000006;140
19;HC;RestAPI;0,014646;0,326849;0,0387115;0,09473514;9,473514;100
19;HC;request;0,202575;4,065695;0,815679;1,1479882785714288;160,71835900000005;140
