Lib;Heuristic;Trial;Lines;% Improved Loc;Chars;% Improved Chars;Time Spent
UglifyJS2;Original;-;1;0;71864;0;undefined;NaN;0
UglifyJS2;RD;18;1;0;69152;0,037737949460091284;61962;0,03740873077520584;34691,498
UglifyJS2;HC3;N/A;1;0;71864;0;undefined;NaN;0
UglifyJS2;HC4;N/A;1;0;71864;0;undefined;NaN;0
UglifyJS2;HC5;N/A;1;0;71864;0;undefined;NaN;0
d3-node;Original;-;1;0;1673;0;0
d3-node;RD;0;1;0;1268;0,242080095636581;1036,412
d3-node;HC3;0;1;0;1238;0,26001195457262405;633,656
d3-node;HC4;0;1;0;1238;0,26001195457262405;1290,109
d3-node;HC5;0;1;0;1238;0,26001195457262405;1301,373
esprima;Original;-;1;0;138070;0;undefined;NaN;0
esprima;RD;2;1;0;137406;0,004809154776562613;99912;0,005989215432676045;74215,963
esprima;HC3;N/A;1;0;138070;0;undefined;NaN;0
esprima;HC4;N/A;1;0;138070;0;undefined;NaN;0
esprima;HC5;N/A;1;0;138070;0;undefined;NaN;0
exectimer;Original;-;1;0;1861;0;0
exectimer;GA;N/A;1;0;1861;0;0
exectimer;HC;N/A;1;0;1861;0;0
exectimer;RD;1;1;0;1422;0,23589468027941968;1092,766
exectimer;HC2;22;1;0;1414;0,24019344438473939;228,554
exectimer;GA2;5;1;0;1768;0,04997313272434175;975,414
exectimer;HC3;0;1;0;1363;0,2675980655561526;669,121
exectimer;HC4;0;1;0;1363;0,2675980655561526;799,386
exectimer;HC5;0;1;0;1363;0,2675980655561526;767,764
jquery;Original;-;1;0;86956;0;undefined;NaN;0
jquery;RD;3;1;0;65115;0,25117300703804224;71101;0,2664630812244014;60587,096
jquery;HC3;N/A;1;0;86956;0;undefined;NaN;0
jquery;HC4;N/A;1;0;86956;0;undefined;NaN;0
jquery;HC5;N/A;1;0;86956;0;undefined;NaN;0
lodash;Original;-;1;0;49636;0;undefined;NaN;0
lodash;RD;N/A;1;0;49636;0;undefined;NaN;0
lodash;HC3;3;1;0;45879;0,07569103070352164;56493;0,08430317372840146;181803,383
lodash;HC4;N/A;1;0;49636;0;undefined;NaN;0
lodash;HC5;N/A;1;0;49636;0;undefined;NaN;0
minimist;Original;-;1;0;2911;0;0
minimist;GA;N/A;1;0;2911;0;0
minimist;HC;1;1;0;2909;0,0006870491240123669;48,803
minimist;RD;0;1;0;2852;0,02026794915836482;1684,615
minimist;HC2;4;1;0;2834;0,026451391274476124;653,442
minimist;GA2;8;1;0;2883;0,009618687736173137;1631,589
minimist;HC3;0;1;0;2830;0,02782548952250086;1391,44
minimist;HC4;0;1;0;2830;0,02782548952250086;1388,962
minimist;HC5;0;1;0;2830;0,02782548952250086;1393,775
moment;Original;-;1;0;48864;0;undefined;NaN;0
moment;RD;29;1;0;47676;0,02431237721021611;49180;0,023334326283387944;34479,416
moment;HC3;5;1;0;45824;0,06221349050425671;47195;0,06275444345149439;42582,755
moment;HC4;N/A;1;0;48864;0;undefined;NaN;0
moment;HC5;N/A;1;0;48864;0;undefined;NaN;0
node-browserify;Original;-;1;0;13120;0;undefined;NaN;0
node-browserify;RD;N/A;1;0;13120;0;undefined;NaN;0
node-browserify;HC3;N/A;1;0;13120;0;undefined;NaN;0
node-browserify;HC4;N/A;1;0;13120;0;undefined;NaN;0
node-browserify;HC5;N/A;1;0;13120;0;undefined;NaN;0
plivo-node;Original;-;1;0;12318;0;0
plivo-node;GA;N/A;1;0;12318;0;0
plivo-node;HC;0;1;0;12232;0,006981652865724956;90,211
plivo-node;RD;22;1;0;4591;0,6272933917843806;3106,771
plivo-node;HC2;23;1;0;9446;0,23315473291118688;3763,314
plivo-node;GA2;21;1;0;12106;0,01721058613411268;3400,115
plivo-node;HC3;20;1;0;4065;0,669995129079396;2959,064
plivo-node;HC4;3;1;0;4042;0,6718623153109271;3103,838
plivo-node;HC5;4;1;0;3421;0,7222763435622666;2912,679
pug;Original;-;1;0;4800;0;undefined;NaN;0
pug;RD;22;1;0;3113;0,3514583333333333;2748;0,34148094895758446;10141,425
pug;HC3;0;1;0;2909;0,39395833333333335;2560;0,38653247064462015;21923,313
pug;HC4;N/A;1;0;4800;0;undefined;NaN;0
pug;HC5;N/A;1;0;4800;0;undefined;NaN;0
tleaf;Original;-;1;0;1722;0;0
tleaf;GA;N/A;1;0;1722;0;0
tleaf;HC;0;1;0;1589;0,07723577235772358;16,239
tleaf;RD;2;1;0;619;0,640534262485482;812,683
tleaf;HC2;20;1;0;1131;0,343205574912892;221,608
tleaf;GA2;0;1;0;1500;0,1289198606271777;1038,013
tleaf;HC3;0;1;0;569;0,6695702671312428;664,128
tleaf;HC4;0;1;0;569;0,6695702671312428;861,664
tleaf;HC5;0;1;0;569;0,6695702671312428;450,596
underscore;Original;-;1;0;16161;0;undefined;NaN;0
underscore;RD;6;1;0;15072;0,06738444403192871;18256;0,06288178224937119;11017,643
underscore;HC3;0;1;0;15147;0,06274364210135512;18038;0,07407217288640214;31869,969
underscore;HC4;N/A;1;0;16161;0;undefined;NaN;0
underscore;HC5;N/A;1;0;16161;0;undefined;NaN;0
uuid;Original;-;1;0;4029;0;0
uuid;GA;N/A;1;0;4029;0;0
uuid;HC;0;1;0;4009;0,004964010920824026;23,436
uuid;RD;19;1;0;3063;0,23976172747580043;1323,466
uuid;HC2;11;1;0;3252;0,1928518242740134;526,792
uuid;GA2;15;1;0;3750;0,06924795234549516;1306,255
uuid;HC3;2;1;0;2981;0,26011417225117894;1431,626
uuid;HC4;15;1;0;2981;0,26011417225117894;1083,968
uuid;HC5;8;1;0;2981;0,26011417225117894;1128,585
xml2js;Original;-;1;0;8301;0;undefined;NaN;0
xml2js;RD;0;1;0;6790;0,1820262618961571;7032;0,17260854218143312;5753,546
xml2js;HC3;28;1;0;8315;0,0016865437899048308;8465;0,00400047064360513;9633,716
xml2js;HC4;1;1;0;7980;0,038670039754246474;8177;0,03788681021296623;14364,559
xml2js;HC5;26;1;0;7857;0,05348753162269606;7976;0,0615366513707495;6909,402
