heuristic,trial,originalIndividualAvgTime,originalIndividualLOC,originalIndividualCharacters,bestIndividualAvgTime,bestIndividualLOC,bestIndividualCharacters,time,better
HC2,2,"3686",133,3686,"2761",105,2761,"220,27",true
HC2,3,"3686",133,3686,"2467",96,2467,"229,019",true
HC2,4,"3686",133,3686,"2391",94,2391,"223,143",true
HC2,5,"3686",133,3686,"2675",102,2675,"221,879",true
HC2,6,"3686",133,3686,"2820",108,2820,"241,738",true
HC2,7,"3686",133,3686,"2570",101,2570,"240,33",true
HC2,8,"3686",133,3686,"2739",103,2739,"229,277",true
HC2,9,"3686",133,3686,"2433",96,2433,"251,079",true
HC2,10,"3686",133,3686,"2762",105,2762,"223,584",true
HC2,11,"3686",133,3686,"2313",92,2313,"245,013",true
HC2,12,"3686",133,3686,"2587",97,2587,"215,807",true
HC2,13,"3686",133,3686,"2432",96,2432,"228,201",true
HC2,14,"3686",133,3686,"2760",104,2760,"232,848",true
HC2,15,"3686",133,3686,"2407",96,2407,"229,745",true
HC2,16,"3686",133,3686,"2329",92,2329,"223,51",true
HC2,17,"3686",133,3686,"2375",94,2375,"233,437",true
HC2,18,"3686",133,3686,"2368",93,2368,"240,812",true
HC2,19,"3686",133,3686,"2726",103,2726,"226,841",true
HC2,20,"3686",133,3686,"2357",93,2357,"221,608",true
HC2,21,"3686",133,3686,"2484",94,2484,"234,392",true
HC2,22,"3686",133,3686,"2455",93,2455,"225,648",true
HC2,23,"3686",133,3686,"2326",92,2326,"221,32",true
HC2,24,"3686",133,3686,"2357",91,2357,"232,583",true
HC2,25,"3686",133,3686,"2571",101,2571,"231,104",true
HC2,26,"3686",133,3686,"2786",106,2786,"243,698",true
HC2,27,"3686",133,3686,"2669",101,2669,"222,843",true
HC2,28,"3686",133,3686,"2462",95,2462,"239,922",true
HC2,29,"3686",133,3686,"2529",97,2529,"256,403",true
HC3,0,"3686",133,3686,"990",41,990,"664,128",true
HC3,1,"3686",133,3686,"990",41,990,"657,31",true
HC3,2,"3686",133,3686,"990",41,990,"664,866",true
HC3,3,"3686",133,3686,"990",41,990,"650,31",true
HC3,4,"3686",133,3686,"990",41,990,"665,947",true
HC3,5,"3686",133,3686,"990",41,990,"657,443",true
HC3,6,"3686",133,3686,"990",41,990,"685,943",true
HC3,7,"3686",133,3686,"990",41,990,"674,765",true
HC3,8,"3686",133,3686,"990",41,990,"680,271",true
HC3,9,"3686",133,3686,"990",41,990,"687,132",true
HC3,10,"3686",133,3686,"990",41,990,"700,448",true
HC3,11,"3686",133,3686,"990",41,990,"714,813",true
HC3,12,"3686",133,3686,"990",41,990,"707,026",true
HC3,13,"3686",133,3686,"990",41,990,"715,145",true
HC3,14,"3686",133,3686,"990",41,990,"696,888",true
HC3,15,"3686",133,3686,"990",41,990,"701,512",true
HC3,16,"3686",133,3686,"990",41,990,"720,431",true
HC3,17,"3686",133,3686,"990",41,990,"768,266",true
HC3,18,"3686",133,3686,"990",41,990,"752,727",true
HC3,19,"3686",133,3686,"990",41,990,"718,414",true
HC3,20,"3686",133,3686,"990",41,990,"680,674",true
HC3,21,"3686",133,3686,"990",41,990,"689,973",true
HC3,22,"3686",133,3686,"990",41,990,"663,389",true
HC3,23,"3686",133,3686,"990",41,990,"690,907",true
HC3,24,"3686",133,3686,"990",41,990,"695,601",true
HC3,25,"3686",133,3686,"990",41,990,"699,396",true
HC3,26,"3686",133,3686,"990",41,990,"690,685",true
HC3,27,"3686",133,3686,"990",41,990,"686,895",true
